feature,VIF_전,VIF_후
GarageCars,5.312905871536739,1.8574975971258416
GrLivArea,5.306491045014589,2.691885901951946
GarageArea,4.99507052986753,
1stFlrSF,3.7777250652184557,
TotalBsmtSF,3.6301857279916825,1.622203393622429
TotRmsAbvGrd,3.37799891259489,
OverallQual,2.8637189808088097,2.813354201137698
YearBuilt,2.3496019815416744,2.321725200286686
FullBath,2.2379660344944283,2.1670009830404737
YearRemodAdd,1.7709766909440816,1.7686766173448152
Fireplaces,1.448449911877506,1.400451819786845
LotArea,1.1709586348507113,1.165153295258527
