일자,공급업체명,교정기관,품목명,주문수량
2023-12-01,[23]경기상사(간장),경북북부제1교도소,간장,8
2023-12-01,[23]경기상사(간장),경북북부제3교도소,간장,5
2023-12-01,[23]경기상사(간장),경북직업훈련교도소,간장,1
2023-12-01,[23]경기상사(간장),김천소년교도소,간장,2
2023-12-01,[23]경기상사(간장),부산교도소,간장,3
2023-12-01,[23]경기상사(간장),부산구치소,간장,36
2023-12-01,[23]경기상사(간장),서울구치소,간장,13
2023-12-01,[23]경기상사(간장),서울남부교도소,간장,3
2023-12-01,[23]경기상사(간장),서울남부구치소,간장,10
2023-12-01,[23]경기상사(간장),안동교도소,간장,12
2023-12-01,[23]경기상사(간장),안양교도소,간장,2
2023-12-01,[23]경기상사(간장),울산구치소,간장,12
2023-12-01,[23]경기상사(간장),원주교도소,간장,12
2023-12-01,[23]경기상사(간장),의정부교도소,간장,3
2023-12-01,[23]경기상사(간장),진주교도소,간장,12
2023-12-01,[23]경기상사(간장),창원교도소,간장,24
2023-12-01,[23]경기상사(간장),천안교도소,간장,60
2023-12-01,[23]경기상사(간장),포항교도소,간장,6
2023-12-01,[23]더지안(두유),경북북부제1교도소,두유(검은콩),1346
2023-12-01,[23]더지안(두유),경북북부제2교도소,두유(검은콩),288
2023-12-01,[23]더지안(두유),경북북부제3교도소,두유(검은콩),1323
2023-12-01,[23]더지안(두유),경북직업훈련교도소,두유(검은콩),437
2023-12-01,[23]더지안(두유),경주교도소,두유(검은콩),312
2023-12-01,[23]더지안(두유),공주교도소,두유(검은콩),600
2023-12-01,[23]더지안(두유),광주교도소,두유(검은콩),1200
2023-12-01,[23]더지안(두유),군산교도소,두유(검은콩),696
2023-12-01,[23]더지안(두유),김천소년교도소,두유(검은콩),507
2023-12-01,[23]더지안(두유),논산지소,두유(고칼슘),600
2023-12-01,[23]더지안(두유),대구구치소,두유(검은콩),2099
2023-12-01,[23]더지안(두유),대전교도소,두유(검은콩),480
2023-12-01,[23]더지안(두유),목포교도소,두유(검은콩),720
2023-12-01,[23]더지안(두유),밀양구치소,두유(검은콩),240
2023-12-01,[23]더지안(두유),부산교도소,두유(검은콩),1318
2023-12-01,[23]더지안(두유),부산구치소,두유(검은콩),803
2023-12-01,[23]더지안(두유),서산지소,두유(검은콩),1440
2023-12-01,[23]더지안(두유),서울구치소,두유(검은콩),2489
2023-12-01,[23]더지안(두유),서울남부교도소,두유(고칼슘),1116
2023-12-01,[23]더지안(두유),서울남부구치소,두유(고칼슘),583
2023-12-01,[23]더지안(두유),수원구치소,두유(검은콩),1848
2023-12-01,[23]더지안(두유),순천교도소,두유(검은콩),960
2023-12-01,[23]더지안(두유),안동교도소,두유(검은콩),600
2023-12-01,[23]더지안(두유),안양교도소,두유(검은콩),822
2023-12-01,[23]더지안(두유),여주교도소,두유(검은콩),1200
2023-12-01,[23]더지안(두유),영월교도소,두유(검은콩),624
2023-12-01,[23]더지안(두유),울산구치소,두유(검은콩),480
2023-12-01,[23]더지안(두유),원주교도소,두유(고칼슘),408
2023-12-01,[23]더지안(두유),의정부교도소,두유(검은콩),938
2023-12-01,[23]더지안(두유),인천구치소,두유(검은콩),1800
2023-12-01,[23]더지안(두유),전주교도소,두유(검은콩),648
2023-12-01,[23]더지안(두유),창원교도소,두유(검은콩),2400
2023-12-01,[23]더지안(두유),천안교도소,두유(고칼슘),840
2023-12-01,[23]더지안(두유),청주교도소,두유(검은콩),404
2023-12-01,[23]더지안(두유),춘천교도소,두유(고칼슘),713
2023-12-01,[23]더지안(두유),평택지소,두유(검은콩),480
2023-12-01,[23]더지안(두유),포항교도소,두유(검은콩),1257
2023-12-01,[23]동원에프앤비(참치),경북북부제3교도소,참치,352
2023-12-01,[23]동원에프앤비(참치),경북직업훈련교도소,참치,328
2023-12-01,[23]동원에프앤비(참치),경주교도소,참치,96
2023-12-01,[23]동원에프앤비(참치),공주교도소,참치,240
2023-12-01,[23]동원에프앤비(참치),광주교도소,참치,480
2023-12-01,[23]동원에프앤비(참치),군산교도소,참치,192
2023-12-01,[23]동원에프앤비(참치),김천소년교도소,참치,282
2023-12-01,[23]동원에프앤비(참치),논산지소,참치,192
2023-12-01,[23]동원에프앤비(참치),대구구치소,참치,480
2023-12-01,[23]동원에프앤비(참치),대전교도소,참치,720
2023-12-01,[23]동원에프앤비(참치),부산교도소,참치,418
2023-12-01,[23]동원에프앤비(참치),부산구치소,참치,404
2023-12-01,[23]동원에프앤비(참치),서울구치소,참치,1407
2023-12-01,[23]동원에프앤비(참치),서울남부교도소,참치,480
2023-12-01,[23]동원에프앤비(참치),서울남부구치소,참치,662
2023-12-01,[23]동원에프앤비(참치),서울동부구치소,참치,480
2023-12-01,[23]동원에프앤비(참치),수원구치소,참치,480
2023-12-01,[23]동원에프앤비(참치),순천교도소,참치,480
2023-12-01,[23]동원에프앤비(참치),안동교도소,참치,240
2023-12-01,[23]동원에프앤비(참치),안양교도소,참치,303
2023-12-01,[23]동원에프앤비(참치),여주교도소,참치,480
2023-12-01,[23]동원에프앤비(참치),울산구치소,참치,240
2023-12-01,[23]동원에프앤비(참치),원주교도소,참치,240
2023-12-01,[23]동원에프앤비(참치),의정부교도소,참치,391
2023-12-01,[23]동원에프앤비(참치),인천구치소,참치,960
2023-12-01,[23]동원에프앤비(참치),전주교도소,참치,96
