성별,분기별,연령대,합계 명개
남자,1/4분기,15-19세,5
남자,1/4분기,20-24세,25
남자,1/4분기,25-29세,81
남자,1/4분기,30-34세,91
남자,1/4분기,35-39세,100
남자,1/4분기,40-44세,112
남자,1/4분기,45-49세,106
남자,1/4분기,50-54세,114
남자,1/4분기,55-59세,108
남자,1/4분기,60-64세,85
남자,1/4분기,65세 이상,75
남자,2/4분기,15-19세,5
남자,2/4분기,20-24세,27
남자,2/4분기,25-29세,85
남자,2/4분기,30-34세,94
남자,2/4분기,35-39세,98
남자,2/4분기,40-44세,113
남자,2/4분기,45-49세,109
남자,2/4분기,50-54세,115
남자,2/4분기,55-59세,106
남자,2/4분기,60-64세,88
남자,2/4분기,65세 이상,87
남자,3/4분기,15-19세,5
남자,3/4분기,20-24세,33
남자,3/4분기,25-29세,82
남자,3/4분기,30-34세,96
남자,3/4분기,35-39세,98
남자,3/4분기,40-44세,116
남자,3/4분기,45-49세,109
남자,3/4분기,50-54세,113
남자,3/4분기,55-59세,102
남자,3/4분기,60-64세,90
남자,3/4분기,65세 이상,91
남자,4/4분기,15-19세,3
남자,4/4분기,20-24세,27
남자,4/4분기,25-29세,84
남자,4/4분기,30-34세,94
남자,4/4분기,35-39세,96
남자,4/4분기,40-44세,115
남자,4/4분기,45-49세,109
남자,4/4분기,50-54세,112
남자,4/4분기,55-59세,102
남자,4/4분기,60-64세,91
남자,4/4분기,65세 이상,89
여자,1/4분기,15-19세,4
여자,1/4분기,20-24세,49
여자,1/4분기,25-29세,70
여자,1/4분기,30-34세,56
여자,1/4분기,35-39세,56
여자,1/4분기,40-44세,72
여자,1/4분기,45-49세,75
여자,1/4분기,50-54세,94
여자,1/4분기,55-59세,76
여자,1/4분기,60-64세,59
여자,1/4분기,65세 이상,45
여자,2/4분기,15-19세,4
여자,2/4분기,20-24세,52
여자,2/4분기,25-29세,74
여자,2/4분기,30-34세,62
여자,2/4분기,35-39세,57
여자,2/4분기,40-44세,72
여자,2/4분기,45-49세,79
여자,2/4분기,50-54세,93
여자,2/4분기,55-59세,80
여자,2/4분기,60-64세,62
여자,2/4분기,65세 이상,54
여자,3/4분기,15-19세,5
여자,3/4분기,20-24세,50
여자,3/4분기,25-29세,79
여자,3/4분기,30-34세,64
여자,3/4분기,35-39세,58
여자,3/4분기,40-44세,70
여자,3/4분기,45-49세,81
여자,3/4분기,50-54세,94
여자,3/4분기,55-59세,82
여자,3/4분기,60-64세,62
여자,3/4분기,65세 이상,60
여자,4/4분기,15-19세,6
여자,4/4분기,20-24세,45
여자,4/4분기,25-29세,80
여자,4/4분기,30-34세,67
여자,4/4분기,35-39세,57
여자,4/4분기,40-44세,74
여자,4/4분기,45-49세,85
여자,4/4분기,50-54세,93
여자,4/4분기,55-59세,83
여자,4/4분기,60-64세,68
여자,4/4분기,65세 이상,61
